Nr threaduri,Nr cititoare,Timp executie
8,2,0.26363978
8,2,0.96509338
8,2,0.57798293
6,2,0.59284238
6,2,0.58263013
6,2,0.7095535
6,2,0.72687593
6,2,0.70817826
6,2,0.73911784
6,2,0.73289267
8,2,0.80477352
8,2,0.8009879
8,2,0.80763005
8,2,0.82014766
8,2,0.82863367
8,2,1.10667136
8,2,1.1128841
8,2,1.06707907
8,2,1.0870567
8,2,1.14186755
8,2,1.09108357
8,2,1.79652957
8,2,1.79551249
8,2,1.81481961
6,4,1.75622948
8,4,1.80916078
16,4,1.79242352
6,2,1.82418286
8,2,1.77903008
16,2,1.83328223
16,2,1.31049592
8,2,1.3170894
6,4,1.30812972
8,4,1.32761013
8,2,1.33019044
16,2,1.3070872
16,2,1.32616115
16,2,1.36382043
8,4,1.31611173
8,4,1.3058394
6,4,1.31158374
6,4,1.32224553
6,4,1.31504423
6,4,1.32459447
6,4,1.31512426
6,4,1.30424699
6,4,1.32392488
6,4,1.30001853
16,2,1.33170141
16,2,1.34096235
16,2,1.31421732
16,2,1.30037645
16,2,1.32447806
16,2,1.329549
16,2,1.31015758
16,2,1.32428609
16,2,1.30481463
16,2,1.33133502
16,2,1.33797534
16,2,1.32445032
8,4,1.29802443
8,4,1.3232424
8,4,1.32231752
8,4,1.31273348
6,4,1.30960112
6,4,1.31827123
